Unnamed: 0,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
581,Get Busy,Sean Paul,dance pop,2022,2024‑02‑02,100,82,-4,16,73,212,61,4,81
582,I Gotta Feeling,Black Eyed Peas,dance pop,2009,2024‑02‑02,128,77,-6,51,61,289,9,3,85
583,Blurred Lines,Robin Thicke,dance pop,2013,2024‑02‑02,120,60,-5,8,84,264,0,4,79
584,Gimme More,Britney Spears,dance pop,2007,2024‑02‑02,113,84,-3,7,38,251,25,3,84
585,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,2024‑02‑02,126,81,-6,13,11,215,2,6,78
586,Let's Groove,"Earth, Wind & Fire",disco,1981,2024‑02‑02,125,65,-9,13,90,339,12,6,79
587,Livin' la Vida Loca,Ricky Martin,latin pop,1999,2024‑02‑02,178,95,-4,6,93,243,0,5,78
588,Mamma Mia,ABBA,europop,1975,2024‑02‑02,138,75,-7,47,83,213,30,3,81
589,Con Calma,Daddy Yankee,latin hip hop,2019,2024‑02‑02,94,86,-3,6,66,193,11,6,80
590,Just Dance,Lady Gaga,art pop,2008,2024‑02‑02,119,74,-5,18,75,242,3,3,83
591,Poker Face,Lady Gaga,art pop,2008,2024‑02‑02,119,81,-5,12,79,237,12,8,85
592,Infinity 2008 - Klaas Vocal Edit,Guru Josh Project,acid house,2008,2024‑02‑02,128,86,-6,35,47,192,0,6,78
593,Shake It Off,Taylor Swift,pop,2014,2024‑02‑02,160,80,-5,33,94,219,6,17,84
594,Starships,Nicki Minaj,hip pop,2012,2024‑02‑02,125,72,-2,25,75,211,14,8,81
595,You're The One That I Want - From “Grease”,John Travolta,hollywood,2023,2024‑02‑02,214,79,-6,17,84,169,31,17,78
596,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2012,2024‑02‑02,136,76,-4,34,54,230,4,16,82
597,Timber (feat. Ke$ha),Pitbull,dance pop,2012,2024‑02‑02,130,96,-4,14,79,204,3,10,85
598,Down,Jay Sean,dance pop,2009,2024‑02‑02,132,68,-4,8,73,213,1,3,81
599,Wake Me Up,Avicii,dance pop,2013,2024‑02‑02,124,78,-6,16,64,247,0,5,89
600,Hey Brother,Avicii,dance pop,2013,2024‑02‑02,125,78,-5,8,46,255,3,4,82
601,Starboy,The Weeknd,canadian contemporary r&b,2016,2024‑02‑02,186,59,-7,14,49,230,14,28,95
602,Don't Let Me Down,The Chainsmokers,pop,2016,2024‑02‑02,160,87,-5,14,42,208,16,17,82
603,Lean On (feat. MØ & DJ Snake),Major Lazer,dance pop,2015,2024‑02‑02,98,81,-3,56,27,177,0,6,84
604,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1997,2024‑02‑02,108,85,-4,27,61,225,4,4,80
