Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Game Dev Tycoon,Very Positive,(251),"['Casual, Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']","['Casual, Indie, Simulation, Strategy']",Greenheart Games 💚,Greenheart Games 💚,"29 Aug, 2013",https://store.steampowered.com/app/239820/Game_Dev_Tycoon/?snr=1_7_7_7000_150_17,$5.79
Granny,Very Positive,(136),"['Adventure, Indie']",['Single-player'],"['Adventure, Indie']",DVloper,DVloper,"20 Nov, 2018",https://store.steampowered.com/app/962400/Granny/?snr=1_7_7_7000_150_17,$4.99
Slapshot: Rebound,Mostly Positive,(257),"['Action, Casual, Indie, Sports, Free to Play, Early Access']","['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Stats']","['Action, Casual, Indie, Sports, Free to Play, Early Access']",Oddshot Games,Oddshot Games,"7 Dec, 2020",https://store.steampowered.com/app/1173370/Slapshot_Rebound/?snr=1_7_7_7000_150_17,Free
Hand Simulator,Very Positive,(113),['Simulation'],"['Single-player', 'Online PvP', 'Steam Achievements', 'VR Supported', 'Steam Trading Cards', 'Stats']",['Simulation'],HFM Games,HFM Games,"19 Jul, 2017",https://store.steampowered.com/app/657200/Hand_Simulator/?snr=1_7_7_7000_150_17,$1.99
Anno 2205™,Mixed,(37),"['Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Simulation, Strategy']",Blue Byte,Ubisoft,"3 Nov, 2015",https://store.steampowered.com/app/375910/Anno_2205/?snr=1_7_7_7000_150_17,$31.99
Airport CEO,Mostly Positive,(76),"['Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']","['Indie, Simulation, Strategy']",Apog Labs,Apog Labs,"4 Mar, 2021",https://store.steampowered.com/app/673610/Airport_CEO/?snr=1_7_7_7000_150_17,$12.49
Cardboard Town,Very Positive,(24),"['Casual, Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements']","['Casual, Indie, Simulation, Strategy']",Stratera Games,Stratera Games,"18 Aug, 2023",https://store.steampowered.com/app/2198070/Cardboard_Town/?snr=1_7_7_7000_150_17,$5.99
Ravenbound,Very Positive,(11),['Action'],"['Single-player', 'Steam Achievements', 'Steam Cloud']",['Action'],Systemic Reaction™,Systemic Reaction™,"30 Mar, 2023",https://store.steampowered.com/app/1307660/Ravenbound/?snr=1_7_7_7000_150_17,$7.42
Star Conflict,Mixed,(41),"['Action, Massively Multiplayer, Simulation, Free to Play']","['MMO', 'Steam Achievements', 'Steam Trading Cards']","['Action, Massively Multiplayer, Simulation, Free to Play']",Star Gem Inc.,Gaijin Distribution KFT,"27 Feb, 2013",https://store.steampowered.com/app/212070/Star_Conflict/?snr=1_7_7_7000_150_17,Free
Just Cause™ 3,Very Positive,(637),"['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Action, Adventure']",Avalanche Studios,Square Enix,"1 Dec, 2015",https://store.steampowered.com/app/225540/Just_Cause_3/?snr=1_7_7_7000_150_17,$15.99
Battle Realms: Zen Edition,Very Positive,(44),"['Action, Strategy, Early Access']","['Single-player', 'Online PvP', 'Online Co-op', 'Includes level editor']","['Action, Strategy, Early Access']",Ed Del Castillo,Ed Del Castillo,"3 Dec, 2019",https://store.steampowered.com/app/1025600/Battle_Realms_Zen_Edition/?snr=1_7_7_7000_150_17,$9.99
