Name,Tags,Price,Review
Unnamed Space Idle,In-App Purchases,0.0,Very Positive
Unnamed Space Idle,Steam Cloud,0.0,Very Positive
侠客风云传(Tale of Wuxia),Single-player,8.49,Mostly Positive
侠客风云传(Tale of Wuxia),Steam Trading Cards,8.49,Mostly Positive
侠客风云传(Tale of Wuxia),Steam Cloud,8.49,Mostly Positive
Animal Shelter,Single-player,19.6,Very Positive
Animal Shelter,Steam Achievements,19.6,Very Positive
Animal Shelter,Steam Trading Cards,19.6,Very Positive
Inkbound,Single-player,10.49,Very Positive
Inkbound,Online Co-op,10.49,Very Positive
Inkbound,Steam Achievements,10.49,Very Positive
Inkbound,Steam Cloud,10.49,Very Positive
Men of War: Assault Squad 2,Single-player,14.99,Very Positive
Men of War: Assault Squad 2,Steam Achievements,14.99,Very Positive
Men of War: Assault Squad 2,Steam Trading Cards,14.99,Very Positive
Men of War: Assault Squad 2,Steam Workshop,14.99,Very Positive
Men of War: Assault Squad 2,Steam Cloud,14.99,Very Positive
Men of War: Assault Squad 2,Stats,14.99,Very Positive
Men of War: Assault Squad 2,Steam Leaderboards,14.99,Very Positive
Men of War: Assault Squad 2,Includes level editor,14.99,Very Positive
Isonzo,Single-player,14.99,Very Positive
Isonzo,Online PvP,14.99,Very Positive
Isonzo,Steam Achievements,14.99,Very Positive
Isonzo,Steam Trading Cards,14.99,Very Positive
Isonzo,Steam Cloud,14.99,Very Positive
Leaf Blower Revolution - Idle Game,Single-player,0.0,Very Positive
Leaf Blower Revolution - Idle Game,Steam Achievements,0.0,Very Positive
Leaf Blower Revolution - Idle Game,Steam Trading Cards,0.0,Very Positive
Leaf Blower Revolution - Idle Game,In-App Purchases,0.0,Very Positive
Leaf Blower Revolution - Idle Game,Steam Cloud,0.0,Very Positive
Leaf Blower Revolution - Idle Game,Stats,0.0,Very Positive
WHITE ALBUM: Memories like Falling Snow,Single-player,9.99,Very Positive
WHITE ALBUM: Memories like Falling Snow,Steam Achievements,9.99,Very Positive
WHITE ALBUM: Memories like Falling Snow,Steam Cloud,9.99,Very Positive
Mass Effect™: Andromeda Deluxe Edition,Single-player,39.99,Mostly Positive
Mass Effect™: Andromeda Deluxe Edition,Online Co-op,39.99,Mostly Positive
Mass Effect™: Andromeda Deluxe Edition,Steam Achievements,39.99,Mostly Positive
Mass Effect™: Andromeda Deluxe Edition,Steam Trading Cards,39.99,Mostly Positive
Mechabellum,Single-player,8.99,Very Positive
Mechabellum,Online PvP,8.99,Very Positive
Mechabellum,Online Co-op,8.99,Very Positive
West Hunt,Single-player,9.99,Very Positive
West Hunt,Online PvP,9.99,Very Positive
West Hunt,Online Co-op,9.99,Very Positive
West Hunt,Steam Achievements,9.99,Very Positive
West Hunt,In-App Purchases,9.99,Very Positive
TaleSpire,Online Co-op,12.49,Very Positive
TaleSpire,Includes level editor,12.49,Very Positive
Transformice,MMO,0.0,Very Positive
Transformice,Steam Achievements,0.0,Very Positive
Transformice,Steam Trading Cards,0.0,Very Positive
Transformice,Includes level editor,0.0,Very Positive
STAR WARS™ - X-Wing Alliance™,Single-player,2.02,Very Positive
STAR WARS™ - X-Wing Alliance™,Shared/Split Screen PvP,2.02,Very Positive
STAR WARS™ - X-Wing Alliance™,Steam Cloud,2.02,Very Positive
STAR WARS™ - X-Wing Alliance™,Remote Play Together,2.02,Very Positive
Momodora: Reverie Under The Moonlight,Single-player,2.31,Very Positive
Momodora: Reverie Under The Moonlight,Steam Achievements,2.31,Very Positive
Momodora: Reverie Under The Moonlight,Steam Trading Cards,2.31,Very Positive
Momodora: Reverie Under The Moonlight,Steam Cloud,2.31,Very Positive
