Name,Review,Genre,Tags,Developer,Publisher,Price,release_date,Total Number Of Reviews
SnowRunner,Very Positive,"['Adventure, Simulation']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",Saber Interactive,Focus Entertainment,20.99,2021-05-18,25283.0
MARVEL SNAP,Very Positive,"['Casual, Strategy, Free to Play']","['Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']","Second Dinner Studios, Inc.",Nuverse,0.0,2023-08-22,23952.0
Squad,Very Positive,"['Action, Indie, Massively Multiplayer, Strategy']","['Online PvP', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled']",Offworld Industries,Offworld Industries,22.99,2020-09-23,122593.0
FINAL FANTASY X/X-2 HD Remaster,Very Positive,['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",Square Enix,Square Enix,9.59,2016-05-12,14303.0
FOR HONOR™,Mixed,['Action'],"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases']",Ubisoft Montreal,Ubisoft,11.99,2017-02-14,86190.0
Sid Meier’s Civilization® VI,Very Positive,['Strategy'],"['Single-player', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Turn Notifications', 'Remote Play on Tablet', 'Remote Play Together']",Firaxis Games,2K,59.99,2016-10-21,215725.0
Mount & Blade II: Bannerlord,Very Positive,"['Action, Indie, RPG, Simulation, Strategy']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet']",TaleWorlds Entertainment,TaleWorlds Entertainment,19.99,2022-10-25,185007.0
Call of Duty®: Black Ops III,Very Positive,"['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Treyarch,Activision,59.99,2015-11-06,117822.0
Summoners War: Chronicles,Mostly Positive,"['Action, Adventure, Massively Multiplayer, RPG, Strategy, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']",Com2uS,Com2uS,0.0,2022-11-10,11048.0
Witch It,Very Positive,"['Action, Casual, Indie']","['Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",Barrel Roll Games,Barrel Roll Games,2.09,2020-10-22,12981.0
Russian Fishing 4,Mostly Positive,"['Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free to Play']","['Single-player', 'MMO', 'Online PvP', 'Steam Achievements', 'In-App Purchases', 'Stats']",FishSoft LLC,FishSoft LLC,0.0,2021-11-11,39956.0
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",Very Positive,"['Action, Indie, Massively Multiplayer, RPG, Simulation']","['Single-player', 'Online Co-op']",Nils Jakrins,Excalibur Games,0.67,2023-05-15,12550.0
It Takes Two,Overwhelmingly Positive,"['Action, Adventure']","['Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play Together']",Hazelight,Electronic Arts,39.99,2021-03-26,130532.0
Train Sim World® 4,Mostly Positive,['Simulation'],"['Single-player', 'Steam Achievements', 'Stats']",Dovetail Games,Dovetail Games - TSW,19.16,2023-09-26,1230.0
