Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Disgaea 6 Complete,Mixed,(313),"['RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['RPG, Strategy']","Nippon Ichi Software, Inc.","NIS America, Inc.","28 Jun, 2022",https://store.steampowered.com/app/1749750/Disgaea_6_Complete/?snr=1_7_7_7000_150_12,$19.49
Tainted Grail: The Fall of Avalon,Very Positive,(234),"['Action, Adventure, Indie, RPG, Early Access']",['Single-player'],"['Action, Adventure, Indie, RPG, Early Access']",Questline,Awaken Realms,"30 Mar, 2023",https://store.steampowered.com/app/1466060/Tainted_Grail_The_Fall_of_Avalon/?snr=1_7_7_7000_150_12,$29.99
The Ranch of Rivershine,Very Positive,(44),"['Simulation, Early Access']","['Single-player', 'Steam Cloud']","['Simulation, Early Access']",Cozy Bee Games,Cozy Bee Games,"12 May, 2023",https://store.steampowered.com/app/1559600/The_Ranch_of_Rivershine/?snr=1_7_7_7000_150_12,$26.99
Wobbledogs,Overwhelmingly Positive,(282),"['Casual, Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Casual, Indie, Simulation']",Animal Uprising,Secret Mode,"15 Mar, 2022",https://store.steampowered.com/app/1424330/Wobbledogs/?snr=1_7_7_7000_150_12,$8.99
Hotel Renovator,Very Positive,(35),"['Adventure, Casual, Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure, Casual, Indie, Simulation']",Two Horizons,Focus Entertainment,"7 Mar, 2023",https://store.steampowered.com/app/1214470/Hotel_Renovator/?snr=1_7_7_7000_150_12,$17.99
Diplomacy is Not an Option,Very Positive,(53),"['Strategy, Early Access']","['Single-player', 'Steam Trading Cards', 'Steam Cloud']","['Strategy, Early Access']",Door 407,Door 407,"9 Feb, 2022",https://store.steampowered.com/app/1272320/Diplomacy_is_Not_an_Option/?snr=1_7_7_7000_150_12,$12.49
Gotham Knights,Mixed,(279),"['Action, Adventure, RPG']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'HDR available']","['Action, Adventure, RPG']",Warner Bros. Games Montréal,Warner Bros. Games,"21 Oct, 2022",https://store.steampowered.com/app/1496790/Gotham_Knights/?snr=1_7_7_7000_150_13,$59.99
Thriving City: Song,Mostly Positive,(52),"['Casual, Indie, Simulation, Strategy, Early Access']","['Single-player', 'Steam Cloud']","['Casual, Indie, Simulation, Strategy, Early Access']",White Star Studio,IndieArk,"21 Apr, 2023",https://store.steampowered.com/app/1956800/Thriving_City_Song/?snr=1_7_7_7000_150_13,$18.99
LIZARDS MUST DIE,Very Positive,(742),"['Action, Adventure, Indie, Massively Multiplayer']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards']","['Action, Adventure, Indie, Massively Multiplayer']",the Bratans,Smola Game Studio,"27 Sep, 2023",https://store.steampowered.com/app/2532550/LIZARDS_MUST_DIE/?snr=1_7_7_7000_150_13,$0.48
Alice: Madness Returns,Very Positive,(259),"['Action, Adventure']",['Single-player'],"['Action, Adventure']",Spicy Horse Games,Electronic Arts,"17 Jun, 2011",https://store.steampowered.com/app/19680/Alice_Madness_Returns/?snr=1_7_7_7000_150_13,$19.99
The Wind Road,Very Positive,(42),"['Action, Adventure, Indie, RPG']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Action, Adventure, Indie, RPG']",甘肃嘉元数字科技有限公司,Phoenix Games,"9 Jul, 2020",https://store.steampowered.com/app/1264670/The_Wind_Road/?snr=1_7_7_7000_150_13,$7.49
The House of Da Vinci,Very Positive,(70),"['Adventure, Indie, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Adventure, Indie, Strategy']",Blue Brain Games,Blue Brain Games,"24 Nov, 2017",https://store.steampowered.com/app/522470/The_House_of_Da_Vinci/?snr=1_7_7_7000_150_13,$7.99
Turnip Boy Commits Tax Evasion,Overwhelmingly Positive,(264),"['Action, Adventure, Casual, Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']","['Action, Adventure, Casual, Indie']",Snoozy Kazoo,Graffiti Games,"22 Apr, 2021",https://store.steampowered.com/app/1205450/Turnip_Boy_Commits_Tax_Evasion/?snr=1_7_7_7000_150_13,$7.99
Tom Clancy’s The Division™,Very Positive,(212),"['Action, Adventure, RPG']","['Single-player', 'Steam Trading Cards', 'In-App Purchases']","['Action, Adventure, RPG']",Massive Entertainment,Ubisoft,"8 Mar, 2016",https://store.steampowered.com/app/365590/Tom_Clancys_The_Division/?snr=1_7_7_7000_150_13,$23.99
Alaskan Road Truckers,Mixed,(68),"['Action, Adventure, Casual, Indie, Racing, Simulation']","['Single-player', 'Steam Achievements']","['Action, Adventure, Casual, Indie, Racing, Simulation']",Road Studio S.A.,Green Man Gaming Publishing,"18 Oct, 2023",https://store.steampowered.com/app/849100/Alaskan_Road_Truckers/?snr=1_7_7_7000_150_13,$11.00
Harvest Moon: The Winds of Anthos,Mixed,(17),"['Adventure, RPG, Simulation']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure, RPG, Simulation']",Appci Inc.,Natsume Inc.,"28 Sep, 2023",https://store.steampowered.com/app/2140650/Harvest_Moon_The_Winds_of_Anthos/?snr=1_7_7_7000_150_13,$49.99
How a Retired Strategist Saved the Country,Very Positive,(136),"['Adventure, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure, RPG, Strategy']",tomadan,OTAKU Plan,"13 May, 2023",https://store.steampowered.com/app/2169830/How_a_Retired_Strategist_Saved_the_Country/?snr=1_7_7_7000_150_13,$3.92
FTL: Faster Than Light,Very Positive,(292),"['Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet']","['Indie, Simulation, Strategy']",Subset Games,Subset Games,"14 Sep, 2012",https://store.steampowered.com/app/212680/FTL_Faster_Than_Light/?snr=1_7_7_7000_150_13,$5.79
RollerCoaster Tycoon® Classic,Very Positive,(32),"['Simulation, Strategy']","['Single-player', 'Steam Cloud', 'Includes level editor']","['Simulation, Strategy']",Origin8 Technologies Ltd.,Atari,"28 Sep, 2017",https://store.steampowered.com/app/683900/RollerCoaster_Tycoon_Classic/?snr=1_7_7_7000_150_13,$19.99
The Lost Village,Mostly Positive,(337),"['Adventure, Indie, RPG, Simulation, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure, Indie, RPG, Simulation, Strategy, Early Access']",FunYoo Games,FunYoo Games,"15 Jan, 2023",https://store.steampowered.com/app/1963040/The_Lost_Village/?snr=1_7_7_7000_150_13,$9.99
Crysis Remastered,Mostly Positive,(243),['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",['Action'],Crytek,Crytek,"17 Sep, 2021",https://store.steampowered.com/app/1715130/Crysis_Remastered/?snr=1_7_7_7000_150_13,$14.99
Avorion,Very Positive,(80),"['Action, Indie, Simulation']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats']","['Action, Indie, Simulation']",Boxelware,Boxelware,"9 Mar, 2020",https://store.steampowered.com/app/445220/Avorion/?snr=1_7_7_7000_150_13,$12.49
Call of Duty®: Ghosts,Very Positive,(56),['Action'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards', 'Remote Play on TV']",['Action'],Infinity Ward,Activision,"25 Mar, 2014",https://store.steampowered.com/app/209160/Call_of_Duty_Ghosts/?snr=1_7_7_7000_150_13,$59.99
Silica,Mostly Positive,(71),"['Action, Indie, Strategy, Early Access']","['Single-player', 'Online PvP', 'Online Co-op']","['Action, Indie, Strategy, Early Access']",Bohemia Incubator,Bohemia Interactive,"3 May, 2023",https://store.steampowered.com/app/1494420/Silica/?snr=1_7_7_7000_150_13,$19.99
Talisman: Digital Edition,Very Positive,(27),"['Indie, RPG, Strategy']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","['Indie, RPG, Strategy']",Nomad Games,Nomad Games,"25 Feb, 2014",https://store.steampowered.com/app/247000/Talisman_Digital_Edition/?snr=1_7_7_7000_150_13,$6.99
"Warhammer 40,000: Dawn of War III",Mixed,(39),"['Action, Simulation, Strategy']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor']","['Action, Simulation, Strategy']",Relic Entertainment,SEGA,"27 Apr, 2017",https://store.steampowered.com/app/285190/Warhammer_40000_Dawn_of_War_III/?snr=1_7_7_7000_150_13,$33.49
Assassin's Creed® III Remastered,Mixed,(144),"['Action, Adventure']",['Single-player'],"['Action, Adventure']",Ubisoft Entertainment,Ubisoft Entertainment,"29 Mar, 2019",https://store.steampowered.com/app/911400/Assassins_Creed_III_Remastered/?snr=1_7_7_7000_150_13,$31.99
