,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
101,Cocktails for Two - Remastered,Betty Carter,vocal jazz,2019,2024‑02‑02,77,20,-12,8,21,198,87,4,45
102,Spring Can Really Hang You Up The Most,Ella Fitzgerald,adult standards,1989,2024‑02‑02,92,3,-20,11,14,377,98,4,45
103,I Fall In Love Too Easily,Johnny Hartman,vocal jazz,2014,2024‑02‑02,88,7,-20,14,21,144,95,4,45
104,"Fantastic, That's You",Earl Hines,bebop,1966,2024‑02‑02,68,14,-19,11,18,251,93,8,45
105,Early Autumn,Anita O'Day,torch song,1958,2024‑02‑02,124,5,-20,27,24,191,81,4,45
106,My Conception,Sonny Clark,bebop,2003,2024‑02‑02,63,6,-18,11,37,285,98,4,45
107,Something To Remember You By,Etta Jones,adult standards,1960,2024‑02‑02,117,12,-13,13,27,223,96,4,46
108,(It Will Have To Do) Until The Real Thing Comes Along,Dakota Staton,vocal jazz,2010,2024‑02‑02,67,17,-12,35,26,157,93,5,45
109,"Dorene Don't Cry, I - Remastered",Stanley Turrentine,jazz saxophone,2005,2024‑02‑02,78,14,-11,24,14,375,96,3,45
110,Everything I Love,Morgana King,vocal jazz,1956,2024‑02‑02,96,12,-17,14,41,199,74,3,45
111,It Ain’t Necessarily So,Mary Lou Williams,jazz piano,1964,2024‑02‑02,126,14,-22,10,20,285,94,4,46
112,"Lover, Come Back To Me",Mildred Bailey,torch song,1994,2024‑02‑02,78,9,-14,9,52,182,98,6,46
113,My Melancholy Baby,Dinah Shore,adult standards,1960,2024‑02‑02,71,17,-14,24,13,219,95,3,46
114,Soon,Ella Fitzgerald,adult standards,1950,2024‑02‑02,101,8,-13,15,32,167,99,3,46
115,Try Your Wings,Blossom Dearie,vocal jazz,1997,2024‑02‑02,120,3,-23,18,29,204,98,4,46
116,I'm Lost,Nat King Cole,adult standards,1962,2024‑02‑02,67,20,-15,11,20,210,90,5,46
117,For Lena And Lennie,Quincy Jones,soul jazz,1962,2024‑02‑02,73,9,-18,9,21,259,84,4,46
118,They Can't Take That Away From Me,Sarah Vaughan,jazz,1957,2024‑02‑02,126,15,-15,9,33,164,89,6,46
119,Let's Fall In Love,Stan Getz,bebop,1957,2024‑02‑02,147,22,-14,10,51,390,83,4,46
120,Stompin' At The Savoy,Ella Fitzgerald,adult standards,1957,2024‑02‑02,104,38,-15,22,65,312,76,23,47
121,A Lovely Way To Spend An Evening,Curtis Fuller,bebop,1957,2024‑02‑02,117,15,-16,12,39,413,98,4,47
122,I'm Confessin' (That I Love You),Dean Martin,adult standards,1964,2024‑02‑02,182,2,-16,12,17,195,98,6,47
123,A Foggy Day,Benny Carter,bebop,1994,2024‑02‑02,100,25,-14,11,68,220,87,6,47
124,All Of Me,Sidney Bechet,dixieland,2000,2024‑02‑02,111,43,-9,24,64,248,94,4,47
125,The More I See You - Rudy Van Gelder Edition,Hank Mobley,bebop,1960,2024‑02‑02,80,28,-13,9,61,408,88,5,47
126,November Twilight,Julie London,torch song,1956,2024‑02‑02,118,20,-15,18,14,203,85,4,47
