Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
It Takes Two,Very Positive,"(130,528)","['Action, Adventure']","['Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play Together']","['Action, Adventure']",Hazelight,Electronic Arts,"26 Mar, 2021",https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_7000_150_2,$39.99
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",Very Positive,"(12,549)","['Action, Indie, Massively Multiplayer, RPG, Simulation']","['Single-player', 'Online Co-op']","['Action, Indie, Massively Multiplayer, RPG, Simulation']",Nils Jakrins,Excalibur Games,"15 May, 2023",https://store.steampowered.com/app/605740/Flashing_Lights__Police_Firefighting_Emergency_Services_EMS_Simulator/?snr=1_7_7_7000_150_2,$0.67
Train Sim World® 4,Mostly Positive,"(1,230)",['Simulation'],"['Single-player', 'Steam Achievements', 'Stats']",['Simulation'],Dovetail Games,Dovetail Games - TSW,"26 Sep, 2023",https://store.steampowered.com/app/2362300/Train_Sim_World_4/?snr=1_7_7_7000_150_2,$19.16
Bloons TD 6,Overwhelmingly Positive,"(259,412)",['Strategy'],"['Single-player', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",['Strategy'],Ninja Kiwi,Ninja Kiwi,"18 Dec, 2018",https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_7000_150_2,$7.79
Russian Fishing 4,Mixed,"(39,953)","['Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free to Play']","['Single-player', 'MMO', 'Online PvP', 'Steam Achievements', 'In-App Purchases', 'Stats']","['Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free to Play']",FishSoft LLC,FishSoft LLC,"11 Nov, 2021",https://store.steampowered.com/app/766570/Russian_Fishing_4/?snr=1_7_7_7000_150_2,Free
Bendy and the Dark Revival,Very Positive,"(9,069)","['Action, Adventure']","['Single-player', 'Steam Achievements']","['Action, Adventure']",Joey Drew Studios,Joey Drew Studios,"15 Nov, 2022",https://store.steampowered.com/app/1063660/Bendy_and_the_Dark_Revival/?snr=1_7_7_7000_150_2,$5.99
"Warhammer 40,000: Rogue Trader",Mostly Positive,"(9,222)","['Adventure, Indie, RPG, Strategy']","['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","['Adventure, Indie, RPG, Strategy']",Owlcat Games,Owlcat Games,"7 Dec, 2023",https://store.steampowered.com/app/2186680/Warhammer_40000_Rogue_Trader/?snr=1_7_7_7000_150_2,$24.99
Lies of P,Very Positive,"(22,160)","['Action, Adventure, RPG']",['Single-player'],"['Action, Adventure, RPG']",NEOWIZ,NEOWIZ,"18 Sep, 2023",https://store.steampowered.com/app/1627720/Lies_of_P/?snr=1_7_7_7000_150_2,$35.99
Thymesia,Very Positive,"(5,526)",['Action'],"['Single-player', 'Steam Achievements']",['Action'],OverBorder Studio,Team17,"18 Aug, 2022",https://store.steampowered.com/app/1343240/Thymesia/?snr=1_7_7_7000_150_2,$7.49
Garry's Mod,Overwhelmingly Positive,"(894,685)","['Casual, Indie, Simulation']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Includes Source SDK', 'Remote Play on Tablet']","['Casual, Indie, Simulation']",Facepunch Studios,Valve,"29 Nov, 2006",https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_7000_150_2,$5.79
Conqueror's Blade,Mostly Positive,"(29,449)","['Action, Massively Multiplayer, RPG, Strategy, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases']","['Action, Massively Multiplayer, RPG, Strategy, Free to Play']",Booming Tech,Poros Interactive,"6 Apr, 2020",https://store.steampowered.com/app/835570/Conquerors_Blade/?snr=1_7_7_7000_150_2,Free
STAR WARS™ Empire at War - Gold Pack,Overwhelmingly Positive,"(29,224)",['Strategy'],"['Single-player', 'Online PvP', 'Steam Cloud']",['Strategy'],Petroglyph,LucasArts,"16 Feb, 2006",https://store.steampowered.com/app/32470/STAR_WARS_Empire_at_War__Gold_Pack/?snr=1_7_7_7000_150_2,$3.67
